"Entidade";"Exercício";"Natureza";"Condição";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"EPTC";"2017";"Repasse de Multas de Trânsito - Arrecadação";"Previsto";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
;;;"Realizado";"3.058.639,75";"1.992.022,48";"3.123.345,92";"8.438.431,59";"7.446.036,61";"4.473.250,28";"3.259.564,10";"2.946.792,81";"2.496.141,00";"3.453.611,15";"2.722.370,98";"0,00";"43.410.206,67"
"EPTC";"2017";"Receitas de Comissões";"Previsto";"429.000,00";"433.000,00";"437.000,00";"441.000,00";"445.000,00";"449.000,00";"453.000,00";"457.000,00";"461.000,00";"465.000,00";"469.000,00";"0,00";"4.939.000,00"
;;;"Realizado";"954.542,89";"535.074,61";"376.844,28";"380.801,15";"749.284,04";"926.549,59";"803.711,32";"795.467,79";"932.586,96";"730.092,96";"751.364,83";"0,00";"7.936.320,42"
"EPTC";"2017";"Comissões sobre Gerência Câmara Compensação Tarifária - CARRIS";"Previsto";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
;;;"Realizado";"250.693,36";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"250.693,36"
"EPTC";"2017";"Comissões sobre Gerência Câmara Compensação Tarifária - ATP";"Previsto";"369.000,00";"373.000,00";"377.000,00";"381.000,00";"385.000,00";"389.000,00";"393.000,00";"397.000,00";"401.000,00";"405.000,00";"409.000,00";"0,00";"4.279.000,00"
;;;"Realizado";"703.849,53";"535.074,61";"376.844,28";"380.801,15";"749.284,04";"916.549,59";"793.711,32";"785.467,79";"922.586,96";"720.092,96";"741.364,83";"0,00";"7.625.627,06"
"EPTC";"2017";"Outorga Lotações Seletivo Zona Sul";"Previsto";"60.000,00";"60.000,00";"60.000,00";"60.000,00";"60.000,00";"60.000,00";"60.000,00";"60.000,00";"60.000,00";"60.000,00";"60.000,00";"0,00";"660.000,00"
;;;"Realizado";"0,00";"0,00";"0,00";"0,00";"0,00";"10.000,00";"10.000,00";"10.000,00";"10.000,00";"10.000,00";"10.000,00";"0,00";"60.000,00"
"EPTC";"2017";"Receitas com Estacionamentos";"Previsto";"50.000,00";"200.000,00";"130.000,00";"130.000,00";"130.000,00";"130.000,00";"130.000,00";"130.000,00";"380.000,00";"130.000,00";"130.000,00";"0,00";"1.670.000,00"
;;;"Realizado";"39.700,00";"59.049,00";"99.043,00";"128.757,00";"134.954,00";"132.592,00";"125.663,00";"145.702,00";"351.242,00";"88.270,00";"64.926,00";"0,00";"1.369.898,00"
"EPTC";"2017";"Receita Vistoria";"Previsto";"325.000,00";"325.000,00";"325.000,00";"325.000,00";"325.000,00";"325.000,00";"325.000,00";"325.000,00";"325.000,00";"325.000,00";"325.000,00";"0,00";"3.575.000,00"
;;;"Realizado";"359.951,92";"135.912,09";"425.780,90";"238.306,47";"386.557,62";"240.476,77";"243.676,31";"274.155,65";"324.306,53";"326.070,35";"375.750,01";"0,00";"3.330.944,62"
"EPTC";"2017";"Taxa de Monitoramento GPS Táxis";"Previsto";"340.000,00";"340.000,00";"340.000,00";"365.000,00";"365.000,00";"365.000,00";"365.000,00";"365.000,00";"365.000,00";"365.000,00";"365.000,00";"0,00";"3.940.000,00"
;;;"Realizado";"337.246,00";"262.945,00";"377.651,00";"341.257,00";"384.475,00";"349.167,00";"341.259,00";"332.150,00";"341.523,00";"354.978,00";"368.545,00";"0,00";"3.791.196,00"
"EPTC";"2017";"Receitas Diversas";"Previsto";"50.000,00";"50.000,00";"50.000,00";"50.000,00";"50.000,00";"50.000,00";"50.000,00";"7.050.000,00";"50.000,00";"50.000,00";"50.000,00";"0,00";"7.550.000,00"
;;;"Realizado";"677.568,46";"317.191,81";"516.616,88";"74.053,07";"2.012.373,48";"22.636,41";"128.416,68";"6.988.823,86";"100.968,39";"91.149,42";"25.660,59";"0,00";"10.955.459,05"
"EPTC";"2017";"T O T A L    G E R A L";"Previsto";"1.194.000,00";"1.348.000,00";"1.282.000,00";"1.311.000,00";"1.315.000,00";"1.319.000,00";"1.323.000,00";"8.327.000,00";"1.581.000,00";"1.335.000,00";"1.339.000,00";"0,00";"21.674.000,00"
;;;"Realizado";"5.427.649,02";"3.302.194,99";"4.919.281,98";"9.601.606,28";"11.113.680,75";"6.144.672,05";"4.902.290,41";"11.483.092,11";"4.546.767,88";"5.044.171,88";"4.308.617,41";"0,00";"70.794.024,76"
