Entidade;Data Pagto;Tipo Pessoa;CPF/CNPJ;Nome Favorecido;Processo;Descriç‹o da Despesa;NF/Documento;Valor Bruto(em R$);Valor Retido(em R$);Valor L’quido(em R$)
;;;;;;FOLHA DE PAGAMENTO;;3.196.462,23;;
;;;;;;FOLHA DE PAGAMENTO;;2.370.246,57;;
;;;;;;FOLHA DE PAGAMENTO;;2.231.863,88;;
;;;;;;FOLHA DE PAGAMENTO;;4.736.589,83;;
;;;;;;FOLHA DE PAGAMENTO;;5.026.237,40;;
;;;;;;FOLHA DE PAGAMENTO;;4.817.518,99;;
;;;;;;FOLHA DE PAGAMENTO;;5.082.644,76;;
;;;;;;FOLHA DE PAGAMENTO;;4.694.546,71;;
;;;;;;FOLHA DE PAGAMENTO;;4.818.664,84;;
;;;;;;FOLHA DE PAGAMENTO;;4.818.118,18;;
;;;;;;FOLHA DE PAGAMENTO;;4.936.062,36;;
;;;;;;FOLHA DE PAGAMENTO;;4.903.139,57;;
