"Entidade";"Data Pagto";"Tipo Pessoa";"CPF/CNPJ";"Nome Favorecido";"Processo";"Descrição da Despesa";"NF/Documento";"Valor Bruto(em R$)";"Valor Retido(em R$)";"Valor Líquido(em R$)"
"EPTC";"02/01/2014";"CNPJ";"88297544000108";"CIMAFER COM MATERIAL DE CONSTRUcaO LTDA";"O.C:00017279";"MANUTENCAO E CONSERVACAO";"000040275";"336,00";"0,00";"336,00"
"EPTC";"02/01/2014";"CNPJ";"69034668000156";"SODEXO PASS DO BRASIL SERV. E COM. S.A.";"CON:000017/2011";"VALE ALIMENTACAO";"000275947";"367,50";"0,00";"367,50"
"EPTC";"02/01/2014";"CNPJ";"2279038000170";"TINTAS BARUFFALDI LTDA";"O.C:00017262";"MATERIAL DE SINALIZACAO VIARIA";"000022629";"2.082,00";"0,00";"2.082,00"
"EPTC";"02/01/2014";"CNPJ";"5800976000162";"ALFAMIDIA TREINAMENTOS E SERVIcOS EM INF";"O.C:00016997";"CURSOS/TREINAMENTOS";"000009819";"5.600,00";"280,00";"5.320,00"
"EPTC";"02/01/2014";"CNPJ";"14476648000143";"TRES CACHOEIRAS COM GEN ALIMENTICIOS LTD";"O.C:00017298";"AGUA";"000000266";"600,00";"0,00";"600,00"
"EPTC";"02/01/2014";"CNPJ";"92817709000100";"CB COMERCIAL DE BATERIAS LTDA.";"O.C:00017259";"MATERIAL DE SINALIZACAO VIARIA";"000000915";"44.480,00";"0,00";"44.480,00"
"EPTC";"02/01/2014";"CNPJ";"73993362000102";"BARONESA LTDA.";"O.C:00017277";"MATERIAL DE EXPEDIENTE";"000004736";"47,00";"0,00";"47,00"
"EPTC";"02/01/2014";"CNPJ";"94091782000165";"AMELFIS COM. E SINAL. DE PLACAS LTDA.";"O.C:00017255";"MATERIAL DE SINALIZACAO VIARIA";"000001118";"12.053,00";"0,00";"12.053,00"
"EPTC";"02/01/2014";"CNPJ";"90755398000169";"LENISA S/A PARTICIPACOES EMPRESARIAIS";"CON:000027/2001";"ALUGUEIS";"001012014";"5.456,82";"0,00";"5.456,82"
"EPTC";"02/01/2014";"CNPJ";"90344631000110";"VIVIAN MATERIAIS DE CONSTRUCAO LTDA";"O.C:00017284";"MANUTENCAO E CONSERVACAO";"000047402";"1.255,20";"0,00";"1.255,20"
"EPTC";"02/01/2014";"CNPJ";"92973791000154";"AZENHA EMPREENDIMENTOS IMOBILIARIOS LTDA";"CON:000032/2008";"ALUGUEIS";"001012014";"4.906,89";"0,00";"4.906,89"
"EPTC";"02/01/2014";"CNPJ";"8863707000133";"PRISCILLA RAUBER HENGEMUHLE";"O.C:00017280";"MATERIAL DE CONSUMO";"000004972";"28,80";"0,00";"28,80"
